,candidate_name,candidate_party,link,seat_name,state
0,COLEMAN David,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/bank/,Banks,NSW
1,DRAGONE Gianluca,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/bank/,Banks,NSW
2,GAMBIAN Chris,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/bank/,Banks,NSW
3,WRIGHT Reginald Keith,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/bank/,Banks,NSW
4,THAKUR Anjali,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/bank/,Banks,NSW
5,HO Ki Man,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/bank/,Banks,NSW
6,BURNEY Linda,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/bart/,Barton,NSW
7,SHRESTHA Pramej,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/bart/,Barton,NSW
8,LIU Ben Tung,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/bart/,Barton,NSW
9,SUSILO Sonny,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/bart/,Barton,NSW
10,PARISSIS Connor,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/bart/,Barton,NSW
11,POLLARD Phillip,Pauline Hanson's One Nation,https://www.abc.net.au/news/elections/federal/2019/guide/bart/,Barton,NSW
12,OWLER Brian,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/benn/,Bennelong,NSW
13,MARKS Andrew,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/benn/,Bennelong,NSW
14,ALEXANDER John,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/benn/,Bennelong,NSW
15,ZHANG Qiu Yue,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/benn/,Bennelong,NSW
16,WORSLEY Julie,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/benn/,Bennelong,NSW
17,TAN Monica,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
18,LEESER Julian,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
19,McLACHLAN Craig Steven,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
20,CLARKE Brendan Michael,Science Party,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
21,TAYLOR Simon Alan,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
22,WOODWARD Roger,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
23,GALLAGHER Mick,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
24,GOMPERTZ Katie,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
25,THOMAS Justin,Sustainable Australia,https://www.abc.net.au/news/elections/federal/2019/guide/bero/,Berowra,NSW
