admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_all_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_sr, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_sig, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_num, admis_mood_affective_disorders_p_all_hosps_2016_17_sig, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_all_hosps_2016_17_sig, admis_mood_affective_disorders_p_pub_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_sr, admis_mood_affective_disorders_p_all_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_num, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_sr, admis_mood_affective_disorders_p_all_hosps_2016_17_sr, admis_mental_hlth_rltd_cond_p_pub_hosps_2016_17_asr_100k, admis_mood_affective_disorders_p_pub_hosps_2016_17_sig, pha_code16
2526.2,197,134,null,417,"**",151,"**",135.5,63,1139.2,23,94,182,936.7,"*","10245"
1665.1,107,88,null,290,null,159,"*",197.9,91,604.5,35,92,97,917.3,null,"10226"
1136.1,55,60,"**",169,"**",117,"**",168.6,78,375.7,25,78,60,779.4,null,"10249"
1810.2,143,96,null,705,"**",382,null,89.2,41,378.9,34,98,61,972.4,"**","10032"
1410.6,null,75,"**",248,null,236,"**",216.8,100,null,39,141,null,1407.0,null,"10168"
1355.5,113,72,null,336,"**",225,"**",167.2,77,452.3,42,91,72,907.1,null,"10250"
2174.5,316,115,"**",950,"*",205,"**",64.5,30,718.0,28,48,115,475.8,"**","10014"
1589.2,264,84,null,848,"**",499,"**",211.6,98,505.1,111,93,81,930.6,null,"10055"
1184.8,79,63,null,409,"**",331,"**",142.5,66,237.1,47,96,38,961.2,"**","50051"
2119.3,119,112,"**",476,null,290,"*",192.4,89,533.3,44,128,85,1271.2,null,"10230"
544.6,22,29,"**",57,"**",47,"**",160.1,74,201.9,17,46,32,460.5,null,"20255"
1344.1,58,71,null,321,"**",244,"**",214.0,99,246.5,52,101,39,1002.5,null,"10256"
744.0,null,39,"**",45,null,30,"**",113.1,52,null,7,52,null,515.4,null,"10258"
1201.6,101,64,"**",559,"**",318,"**",141.0,65,230.2,63,67,37,671.3,"**","10063"
1801.7,57,96,"**",297,"**",237,null,182.0,84,350.0,30,143,56,1422.5,null,"10137"
2561.0,125,136,null,707,"**",311,"**",204.9,95,472.4,55,111,76,1109.7,null,"10071"
2039.5,158,108,"**",548,null,184,null,153.7,71,559.2,42,71,89,709.3,"*","10090"
2093.1,220,111,"**",947,"**",355,"**",104.8,48,509.3,45,79,81,782.5,"**","10041"
1791.2,203,95,"**",506,null,207,null,107.0,49,689.8,32,74,110,733.8,"**","10211"
2699.1,558,143,"**",1083,"**",149,"**",41.6,19,1378.4,17,37,220,369.9,"**","20028"
1149.5,17,61,null,142,"**",null,"**",null,null,140.1,null,null,22,null,null,"70006"
1673.5,75,89,null,235,null,113,null,213.7,99,501.3,31,83,80,831.8,null,"10188"
1905.1,184,101,"**",572,null,199,null,217.4,100,597.8,65,68,96,680.7,null,"10080"
2160.0,171,115,"**",830,"**",570,"**",203.4,94,470.5,75,147,75,1460.2,null,"10118"
