dth_suic_slf_inj_0_74_yrs_2011_15_num, dth_suic_slf_inj_0_74_yrs_2011_15_avg_yr_asr_100k_up_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_avg_yr_asr_100k, dth_suic_slf_inj_0_74_yrs_2011_15_sig, lga_code, dth_suic_slf_inj_0_74_yrs_2011_15_avg_yr_asr_100k_lo_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_sdr_lo_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_sdr_up_95pc_ci, dth_suic_slf_inj_0_74_yrs_2011_15_sdr
37,21.028,15.881,null,"10050",10.734,93,183,138
16,17.447,11.685,null,"10130",5.924,51,151,101
19,15.031,10.374,null,"10250",5.717,50,130,90
null,null,null,null,"10300",null,null,null,null
16,12.591,8.429,null,"10470",4.267,37,109,73
20,19.292,13.436,null,"10550",7.58,66,167,117
13,34.319,22.16,"*","10600",10.002,87,298,192
null,null,null,null,"10650",null,null,null,null
133,10.339,8.835,"**","10750",7.332,64,90,77
6,42.768,23.773,null,"10800",4.778,41,371,206
null,null,null,null,"10850",null,null,null,null
41,14.651,11.226,null,"10900",7.801,68,127,97
null,null,null,null,"10950",null,null,null,null
25,16.684,11.986,null,"11100",7.287,63,145,104
null,null,null,null,"11150",null,null,null,null
null,null,null,null,"11200",null,null,null,null
5,19.286,10.358,null,"14750",1.43,12,167,90
35,22.475,16.869,"*","14850",11.262,98,195,146
15,23.291,15.466,null,"14870",7.641,66,202,134
75,10.118,8.248,"**","14900",6.379,55,88,72
null,null,null,null,"14920",null,null,null,null
8,15.918,9.403,null,"11250",2.887,25,138,82
13,24.641,15.997,null,"13910",7.353,64,214,139
48,9.121,7.116,"**","14000",5.111,44,79,62
7,19.25,11.064,null,"14100",2.877,25,167,96
84,10.85,8.935,"*","14170",7.02,61,94,78
7,16.881,9.709,null,"14200",2.536,22,147,84
null,null,null,null,"14300",null,null,null,null
16,18.318,12.29,null,"14350",6.262,54,159,107
16,25.153,16.884,null,"14400",8.616,75,218,147
36,8.971,6.759,"**","14500",4.547,39,78,59
6,24.842,13.785,null,"14550",2.729,24,216,120
7,39.951,22.633,null,"14600",5.314,46,347,196
87,11.636,9.618,null,"14650",7.6,66,101,83
14,13.121,8.597,null,"14700",4.073,35,114,75
null,null,null,null,"14950",null,null,null,null
36,14.114,10.624,null,"15050",7.133,62,123,92
56,18.234,14.451,null,"15240",10.669,93,158,125
14,20.663,13.624,null,"15270",6.585,57,179,118
10,26.326,16.386,null,"15300",6.446,56,228,142
12,13.301,8.494,null,"15350",3.688,32,115,74
null,null,null,null,"15520",null,null,null,null
null,null,null,null,"15560",null,null,null,null
