est_ppl_15yrs_plus_poor_slf_ass_hlth_2014_15_asr_100, est_ppl_15yrs_plus_poor_slf_ass_hlth_2014_15_asr_100_lo_95pc_ci, pha_code
15.5,14.9,"10245"
16.6,16.0,"10226"
14.0,13.3,"10249"
16.7,16.2,"10032"
18.5,18.0,"10250"
9.3,9.0,"10014"
17.5,17.1,"10055"
17.8,16.4,"20155"
13.6,13.1,"50051"
16.0,15.4,"10256"
16.6,15.5,"10258"
16.6,16.1,"10063"
25.4,24.5,"10137"
14.5,14.0,"10071"
7.1,6.8,"10090"
14.2,13.6,"40055"
10.9,10.5,"10041"
10.1,9.7,"10080"
18.7,18.1,"10118"
16.2,15.7,"20025"
13.5,13.1,"10211"
7.2,6.9,"20028"
14.9,14.4,"10230"
20.0,19.1,"70006"
17.1,16.5,"10292"
8.5,8.1,"10069"
19.3,18.8,"10049"
17.4,17.0,"10022"
19.2,18.5,"10259"
18.2,17.5,"10284"
8.9,8.5,"10042"
15.8,15.1,"20005"
13.5,13.0,"10103"
17.4,16.9,"10050"
13.6,12.6,"20078"
16.0,15.6,"10007"
16.5,16.0,"10173"
16.1,15.4,"10168"
17.3,16.6,"10188"
22.7,22.1,"10220"
12.4,11.7,"10318"
15.4,14.9,"10064"
16.8,16.1,"40034"
8.6,8.2,"10091"
13.6,13.0,"10270"
16.6,15.5,"10271"
11.1,10.3,"20026"
10.4,9.9,"10106"
17.9,16.8,"10182"
12.2,11.8,"10107"
null,null,"10108"
16.9,16.0,"10278"
17.2,15.5,"10164"
13.5,12.8,"10119"
19.1,18.4,"10098"
15.4,14.1,"10161"
13.8,13.1,"10201"
19.3,18.6,"10195"
18.0,17.3,"40028"
19.6,18.5,"20207"
19.4,18.5,"20248"
14.8,14.3,"10105"
16.0,15.6,"10021"
13.8,13.3,"10279"
16.5,16.0,"10142"
17.7,17.1,"10162"
null,null,"10193"
10.2,9.7,"10326"
15.0,14.2,"10031"
11.8,11.4,"10096"
