city,country,iso2,admin
Sydney,Australia,AU,New South Wales
South Melbourne,Australia,AU,Victoria
Brisbane,Australia,AU,Queensland
Perth,Australia,AU,Western Australia
Adelaide,Australia,AU,South Australia
Newcastle,Australia,AU,New South Wales
Gold Coast,Australia,AU,Queensland
Cranbourne,Australia,AU,Victoria
Canberra,Australia,AU,Australian Capital Territory
Wollongong,Australia,AU,New South Wales
Geelong,Australia,AU,Victoria
Cairns,Australia,AU,Queensland
Townsville,Australia,AU,Queensland
Albury,Australia,AU,New South Wales
Nowra,Australia,AU,New South Wales
Darwin,Australia,AU,Northern Territory
Toowoomba,Australia,AU,Queensland
Ballarat,Australia,AU,Victoria
Bendigo,Australia,AU,Victoria
Hobart,Australia,AU,Tasmania
North Mackay,Australia,AU,Queensland
Mandurah,Australia,AU,Western Australia
Launceston,Australia,AU,Tasmania
Rockhampton,Australia,AU,Queensland
Coffs Harbour,Australia,AU,New South Wales
Wagga Wagga,Australia,AU,New South Wales
Bundaberg,Australia,AU,Queensland
Port Macquarie,Australia,AU,New South Wales
Mildura,Australia,AU,Victoria
Taree,Australia,AU,New South Wales
Orange,Australia,AU,New South Wales
Caloundra,Australia,AU,Queensland
West Tamworth,Australia,AU,New South Wales
Kalgoorlie,Australia,AU,Western Australia
Shepparton,Australia,AU,Victoria
Mount Isa,Australia,AU,Queensland
Tweed Heads,Australia,AU,New South Wales
Queanbeyan,Australia,AU,New South Wales
Melton,Australia,AU,Victoria
Dubbo,Australia,AU,New South Wales
Caboolture,Australia,AU,Queensland
North Lismore,Australia,AU,New South Wales
Gladstone,Australia,AU,Queensland
Warrnambool,Australia,AU,Victoria
Sunbury,Australia,AU,Victoria
Alice Springs,Australia,AU,Northern Territory
Geraldton,Australia,AU,Western Australia
Bunbury,Australia,AU,Western Australia
Albany,Australia,AU,Western Australia
Hervey Bay,Australia,AU,Queensland
Mount Gambier,Australia,AU,South Australia
Armidale,Australia,AU,New South Wales
Whyalla,Australia,AU,South Australia
Sale,Australia,AU,Victoria
Katoomba,Australia,AU,New South Wales
Goulburn,Australia,AU,New South Wales
Maryborough,Australia,AU,Queensland
Kwinana,Australia,AU,Western Australia
Burnie,Australia,AU,Tasmania
Echuca,Australia,AU,Victoria
Devonport,Australia,AU,Tasmania
Roebourne,Australia,AU,Western Australia
East Maitland,Australia,AU,New South Wales
Traralgon,Australia,AU,Victoria
Murray Bridge,Australia,AU,South Australia
Forster,Australia,AU,New South Wales
Broken Hill,Australia,AU,New South Wales
Karratha,Australia,AU,Western Australia
Gawler,Australia,AU,South Australia
Griffith,Australia,AU,New South Wales
Kingston Beach,Australia,AU,Tasmania
Port Hedland,Australia,AU,Western Australia
Ballina,Australia,AU,New South Wales
Wangaratta,Australia,AU,Victoria
Port Augusta West,Australia,AU,South Australia
Richmond North,Australia,AU,New South Wales
Singleton,Australia,AU,New South Wales
Bongaree,Australia,AU,Queensland
Port Lincoln,Australia,AU,South Australia
Broome,Australia,AU,Western Australia
Horsham,Australia,AU,Victoria
Port Pirie,Australia,AU,South Australia
Warwick,Australia,AU,Queensland
Kempsey,Australia,AU,New South Wales
Portland,Australia,AU,Victoria
Gympie South,Australia,AU,Queensland
Muswellbrook,Australia,AU,New South Wales
Parkes,Australia,AU,New South Wales
Lithgow,Australia,AU,New South Wales
Bairnsdale East,Australia,AU,Victoria
Bowen,Australia,AU,Queensland
Yeppoon,Australia,AU,Queensland
Batemans Bay,Australia,AU,New South Wales
Kiama,Australia,AU,New South Wales
Busselton,Australia,AU,Western Australia
Innisfail,Australia,AU,Queensland
Katherine,Australia,AU,Northern Territory
Moranbah,Australia,AU,Queensland
South Grafton,Australia,AU,New South Wales
Dalby,Australia,AU,Queensland
Charters Towers,Australia,AU,Queensland
Emerald,Australia,AU,Queensland
Swan Hill,Australia,AU,Victoria
Ulladulla,Australia,AU,New South Wales
Colac,Australia,AU,Victoria
Ayr,Australia,AU,Queensland
