,seat,city,state
0,Adelaide,Port Adelaide Enfield,South Australia
1,Aston,City of Knox,Victoria
2,Ballarat,City of Ballarat,Victoria
3,Banks,Georges River,NSW
4,Barker,Adelaide,South Australia
5,Barton,Bayside Council,NSW
6,Bass,Launceston,Tasmania
7,Batman,City of Yarra,Victoria
8,Bendigo,City of Greater Bendigo,Victoria
9,Bennelong,Willoughby,NSW
10,Berowra,The Hills,NSW
11,Blair,Ipswich,QLD
12,Blaxland,Canterbury-Bankstown,NSW
13,Bonner,Brisbane,QLD
14,Boothby,Onkaparinga,South Australia
15,Bowman,Brisbane,QLD
16,Braddon,Burnie,Tasmania
17,Bradfield,Hornsby,NSW
18,Brand,Perth,Western Australia
19,Brisbane,Brisbane,QLD
20,Bruce,City of Monash,Victoria
21,Burt,Perth,Western Australia
22,Calare,Blayney,NSW
23,Calwell,City of Hume,Victoria
24,Canberra,Woden Valley,Australian Capital Territory
25,Canning,Perth,Western Australia
26,Capricornia,Rockhampton,QLD
27,Casey,Shire of Yarra Ranges,Victoria
28,Chifley,Blacktown,NSW
29,Chisholm,City of Monash,Victoria
30,Cook,Georges River,NSW
31,Corangamite,Surf Coast Shire,Victoria
32,Corio,City of Greater Geelong,Victoria
33,Cowan,City of Wanneroo,Western Australia
34,Cowper,Kempsey Shire Council,NSW
35,Cunningham,Wollongong,NSW
36,Curtin,Perth,Western Australia
37,Dawson,Mackay,QLD
38,Deakin,City of Maroondah,Victoria
39,Denison,Hobart,Tasmania
40,Dickson,Brisbane,QLD
41,Dobell,Central Coast,NSW
42,Dunkley,City of Frankston,Victoria
43,Durack,Geraldton,Western Australia
44,Eden-Monaro,Snowy Monaro,NSW
45,Fadden,Gold Coast,QLD
46,Fairfax,Maroochydore,QLD
47,Farrer,Albury,NSW
48,Fenner,Gungahlin,Australian Capital Territory
49,Fisher,Maroochydore,QLD
50,Flinders,Shire of Mornington Peninsula,Victoria
51,Flynn,Rockhampton,QLD
52,Forde,Brisbane,QLD
53,Forrest,Bunbury,Western Australia
54,Fowler,Liverpool,NSW
55,Franklin,Hobart,Tasmania
56,Fremantle,Perth,Western Australia
57,Gellibrand,City of Hobsons Bay,Victoria
58,Gilmore,Shoalhaven,NSW
59,Gippsland,Shire of Wellington,Victoria
60,Goldstein,City of Bayside,Victoria
